batch,r,fit,n,ncl,trunc,safe,patch_count,valid,eligible,unknown,light,local_light,utility,patch_deg,note
g0001,0.025,False,17,1,False,True,1,1,82,0.6111111111111112,0.8571428571428571,0.7394957983193277,0.38444983798260757,32.87637631572219,
g0002,0.025,False,22,2,False,True,1,1,199,0.3611111111111111,1.0,0.9747899159663866,0.4794312767963728,52.314402875090536,
g0003,0.0268,True,123,1,False,True,2,2,66,0.5428571428571428,0.42857142857142855,0.5126050420168067,0.35487435856833743,28.723023125833127,
g0004,0.0275,True,16,3,False,False,0,0,0,0.9428571428571428,1.0,0.9747899159663864,,,
g0005,0.0283,True,347,1,True,True,1,1,76,0.5142857142857142,1.0,1.0,0.35281217041049323,31.617975637827083,
g0006,0.0267,True,277,2,True,True,1,1,346,0.2571428571428571,1.0,0.9915966386554622,0.48499174966186104,71.08175007986993,
g0007,0.025,False,21,2,True,True,1,1,274,0.8055555555555556,1.0,1.0,0.3595077811298244,62.299889712515515,
g0008,0.0288,True,196,1,True,True,1,1,183,0.45714285714285713,1.0,0.9663865546218489,0.45446093186483594,50.01566646937025,
g0009,0.0267,True,36,3,True,True,2,2,170,0.5428571428571428,1.0,0.9495798319327731,0.3982027546413977,47.485151825903756,
g0010,0.0276,True,396,4,True,True,2,1,262,0.6,0.8571428571428571,0.6587301587301587,0.4107260885672413,60.51553871629864,
g0011,0.0267,True,61,2,True,True,2,2,39,0.5428571428571428,0.8571428571428571,0.5625,0.3427371319571846,18.337685159224105,
