scene,group_id,archive,view_count,views_with_citrus_mask,frame_valid_px,frame_total_px,frame_valid_pct_pooled,frame_valid_pct_view_mean,citrus_valid_px,citrus_total_px,citrus_valid_pct_pooled,citrus_valid_pct_view_mean
S1,g0001,semantic_nbv_batch_20260805-033606_g0001.zip,10,10,103861,3072000,3.3809,3.3809,7641,318523,2.3989,2.4164
S2,g0002,semantic_nbv_batch_20260805-033752_g0002.zip,10,10,120597,3072000,3.9257,3.9257,6868,285619,2.4046,2.3343
S3,g0003,semantic_nbv_batch_20260805-133629_g0003.zip,10,9,1072241,3072000,34.9037,34.9037,5630,27404,20.5444,36.3155
S4,g0004,semantic_nbv_batch_20260805-140032_g0004.zip,10,10,591038,3072000,19.2395,19.2395,5044,85666,5.888,5.27
S5,g0005,semantic_nbv_batch_20260805-140738_g0005.zip,10,9,2370130,3072000,77.1527,77.1527,37441,42325,88.4607,90.9409
S6,g0006,semantic_nbv_batch_20260806-005830_g0006.zip,10,10,961326,3072000,31.2932,31.2932,11108,78325,14.1819,38.024
S7,g0007,semantic_nbv_batch_20260806-012100_g0007.zip,10,10,678564,3072000,22.0887,22.0887,4733,70312,6.7314,7.5922
S8,g0008,semantic_nbv_batch_20260806-021957_g0008.zip,10,10,1695459,3072000,55.1907,55.1907,7899,13059,60.487,54.4995
S9,g0009,semantic_nbv_batch_20260806-025408_g0009.zip,10,9,1693360,3072000,55.1224,55.1224,1724,12922,13.3416,18.4649
S10,g0010,semantic_nbv_batch_20260806-034330_g0010.zip,10,10,1382155,3072000,44.992,44.992,39280,71424,54.9955,65.8801
S11,g0011,semantic_nbv_batch_20260806-091310_g0011.zip,10,8,1208386,3072000,39.3355,39.3355,4872,14564,33.4523,30.6023
