trial_id,recorded_at,record_status,invalidated_at,invalidation_reason,layout_index,repeat_index,order_in_block,indices_match_recommendation,method_id,method_label,robot_proximity_weight,blind_to_operator,score,score_meaning,note,outcome,no_feasible_plan,dry_run,tool_pulse_bypassed,plan_id,target_index,target_label,target_center_x,target_center_y,target_center_z,target_radius_m,selected_outward_x,selected_outward_y,selected_outward_z,selected_insertion_x,selected_insertion_y,selected_insertion_z,entry_pose_x,entry_pose_y,entry_pose_z,entry_pose_qx,entry_pose_qy,entry_pose_qz,entry_pose_qw,leg_entry_s,leg_insert_s,leg_retreat_s,leg_return_s,retimed_entry_eta_s,measured_execution_wall_clock_s,total_execution_cycle_s,execution_attempt_count,execution_replayed,joint_delta_l2_rad,joint_delta_inf_rad,joint_delta_weighted,light_transmission,local_light,utility,patch_utility,unknown_fraction,observed_fraction,soft_clearance_m,entry_distance_m,distance_score_exp_neg_d,reconstruction_view_count,reconstruction_complete,occupied_voxel_count,semantic_voxel_count,target_voxel_count,scene_id,group_number,moveit_message,result_json_path,batch_archive_path
L01R1O1-20260812-095428,2026-08-12T09:59:34.408,superseded,2026-08-12T10:22:22.731,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,1,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786528535099-0001,-1.0,reconstructed_citrus_1,-0.426056,0.114306,0.699444,0.029998,0.081225,-0.977176,-0.196289,-0.081225,0.977176,0.196289,-0.39519,-0.25702,0.624855,-0.445826,-0.45066,-0.50287,0.587594,1.693618,1.461679,1.361748,1.719186,0.471212,6.236353,7.399267,,,1.153101,0.712827,0.433473,0.571429,0.571429,0.113372,0.281463,0.742857,0.257143,-0.001021,0.309794,0.733598,10.0,true,60942.0,61251.0,216.0,probe_L01R1,11,已复用 approach-1786528535099-0001 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-095930-561152_approach-1786528535099-0001_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-095519_g0011.zip
L01R1O2-20260812-095936,2026-08-12T09:59:46.735,superseded,2026-08-12T10:22:22.731,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,2,true,M2,task_conditioned,0.6,true,2,clean_hit,,executed,false,false,true,approach-1786528543439-0002,-1.0,reconstructed_citrus_1,-0.426056,0.114306,0.699444,0.029998,0.290547,-0.941475,-0.170898,-0.290547,0.941475,0.170898,-0.315648,-0.243454,0.634503,-0.393176,-0.509866,-0.441188,0.625142,1.357392,1.399958,1.365739,1.399604,0.382147,5.522817,6.606124,,,0.837469,0.53717,0.310456,0.428571,0.462185,0.108319,0.281463,0.714286,0.285714,-0.007422,0.238854,0.78753,10.0,true,60942.0,61251.0,216.0,probe_L01R1,11,已复用 approach-1786528543439-0002 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-095945-213694_approach-1786528543439-0002_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-095519_g0011.zip
L01R1O3-20260812-095948,2026-08-12T10:00:05.983,superseded,2026-08-12T10:22:22.731,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,3,true,M3,straight_line,,true,2,clean_hit,,executed,false,false,true,approach-1786528552452-0003,-1.0,reconstructed_citrus_1,-0.426056,0.114306,0.699444,0.029998,0.781684,-0.623545,0.012695,-0.781684,0.623545,-0.012695,-0.129017,-0.122641,0.704269,-0.235364,-0.671529,-0.231806,0.663264,0.854458,2.100192,2.145889,1.010847,0.156434,6.111488,7.381271,,,0.163949,0.151402,0.047065,0.142857,0.109244,0.056061,,0.8,0.2,-0.006373,0.035937,0.964701,10.0,true,60942.0,61251.0,216.0,probe_L01R1,11,已复用 approach-1786528552452-0003 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-100003-416420_approach-1786528552452-0003_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-095519_g0011.zip
L01R2O1-20260812-100444,2026-08-12T10:08:11.690,superseded,2026-08-12T10:42:47.033,操作者要求覆盖共享地图区块并从 0/3 重采,1,2,1,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786529147580-0004,-1.0,reconstructed_citrus_1,-0.492276,0.083465,0.677173,0.027101,0.245212,-0.967389,-0.063477,-0.245212,0.967389,0.063477,-0.399806,-0.281338,0.653236,-0.424931,-0.536373,-0.44279,0.579375,1.854002,1.40012,1.471236,1.967941,0.68678,6.693361,7.445596,,,1.410119,1.078245,0.47723,0.857143,0.831933,0.15104,0.304438,0.657143,0.342857,0.012473,0.4619,0.630085,10.0,true,51638.0,51985.0,185.0,probe_L01R2,13,已复用 approach-1786529147580-0004 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-100810-439059_approach-1786529147580-0004_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-100533_g0013.zip
L01R2O2-20260812-100812,2026-08-12T10:08:25.110,superseded,2026-08-12T10:42:47.033,操作者要求覆盖共享地图区块并从 0/3 重采,1,2,2,true,M3,straight_line,,true,1,contaminated_hit,,executed,false,false,true,approach-1786529206636-0005,-1.0,reconstructed_citrus_1,-0.492276,0.083465,0.677173,0.027101,0.808917,-0.580242,-0.094727,-0.808917,0.580242,0.094727,-0.187232,-0.135345,0.641452,-0.203384,-0.641305,-0.229313,0.703405,1.657592,1.600098,1.760147,1.599792,0.548358,6.617803,7.378908,,,1.266441,0.860923,0.465979,0.0,0.0,0.019459,,0.714286,0.285714,-0.009589,0.300539,0.740419,10.0,true,51638.0,51985.0,185.0,probe_L01R2,13,已复用 approach-1786529206636-0005 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-100823-731568_approach-1786529206636-0005_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-100533_g0013.zip
L01R2O3-20260812-100826,2026-08-12T10:08:39.815,superseded,2026-08-12T10:42:47.033,操作者要求覆盖共享地图区块并从 0/3 重采,1,2,3,true,M2,task_conditioned,0.6,true,2,clean_hit,,executed,false,false,true,approach-1786529213780-0006,-1.0,reconstructed_citrus_1,-0.492276,0.083465,0.677173,0.027101,0.447788,-0.893328,-0.038086,-0.447788,0.893328,0.038086,-0.323414,-0.25341,0.662811,-0.366115,-0.588996,-0.376567,0.614199,1.655921,1.399871,1.159247,1.900458,0.608143,6.11561,6.866494,,,1.205931,0.954784,0.378663,0.428571,0.504202,0.122736,0.304438,0.657143,0.342857,0.003847,0.391074,0.67633,10.0,true,51638.0,51985.0,185.0,probe_L01R2,13,已复用 approach-1786529213780-0006 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-100835-816232_approach-1786529213780-0006_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-100533_g0013.zip
L01R1O1-20260812-102533,2026-08-12T10:27:41.654,superseded,2026-08-12T10:42:42.288,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,1,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786530405143-0008,-1.0,reconstructed_citrus_1,-0.49976,0.27812,0.509,0.03662,0.17999,-0.84769,0.499023,-0.17999,0.84769,-0.499023,-0.430172,-0.049614,0.701932,-0.483423,-0.718202,-0.348094,0.359609,2.658893,1.199822,1.557307,2.528604,1.025637,7.944755,8.87456,,,2.153937,1.61025,0.739193,0.571429,0.722222,0.15127,0.313045,0.771429,0.228571,0.009811,0.736081,0.478987,10.0,true,60424.0,60690.0,150.0,probe_L01R1,15,已复用 approach-1786530405143-0008 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-102716-476065_approach-1786530405143-0008_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102629_g0015.zip
L01R1O2-20260812-102743,2026-08-12T10:28:07.205,superseded,2026-08-12T10:42:42.288,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,2,true,M2,task_conditioned,0.6,true,2,clean_hit,,executed,false,false,true,approach-1786530413446-0009,-1.0,reconstructed_citrus_1,-0.49976,0.27812,0.509,0.03662,0.531184,-0.759266,0.375977,-0.531184,0.759266,-0.375977,-0.294394,-0.015427,0.65436,-0.381515,-0.736502,-0.259122,0.494841,4.454939,1.860642,1.659079,4.700574,2.186486,12.675328,13.662221,,,4.761691,3.432784,1.622955,0.428571,0.386555,0.107988,0.313045,0.628571,0.371429,0.000819,0.597369,0.550258,10.0,true,60424.0,60690.0,150.0,probe_L01R1,15,已复用 approach-1786530413446-0009 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-102758-617158_approach-1786530413446-0009_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102629_g0015.zip
L01R1O3-20260812-102817,2026-08-12T10:28:48.695,superseded,2026-08-12T10:42:42.288,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,3,true,M3,straight_line,,true,1,contaminated_hit,,executed,false,false,true,approach-1786530421882-0010,-1.0,reconstructed_citrus_1,-0.49976,0.27812,0.509,0.03662,0.943692,-0.283266,0.170898,-0.943692,0.283266,-0.170898,-0.13491,0.168604,0.575073,-0.160717,-0.748077,-0.051445,0.641798,2.596155,1.760713,1.757806,2.600274,1.09965,8.715037,9.645802,,,2.849212,1.726451,1.046502,0.0,0.0,0.015969,,0.8,0.2,-0.008441,0.465078,0.628086,10.0,true,60424.0,60690.0,150.0,probe_L01R1,15,已复用 approach-1786530421882-0010 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-102844-114038_approach-1786530421882-0010_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102629_g0015.zip
L02R1O1-20260812-102903,2026-08-12T10:31:07.047,superseded,2026-08-12T10:42:38.698,操作者要求覆盖共享地图区块并从 0/3 重采,2,1,1,true,M2,task_conditioned,0.6,true,0,miss,,executed,false,false,true,approach-1786530616063-0011,-1.0,reconstructed_citrus_1,-0.500235,0.279886,0.503054,0.034178,0.236824,-0.889136,0.391602,-0.236824,0.889136,-0.391602,-0.409252,-0.061701,0.653499,-0.474423,-0.686093,-0.357628,0.419883,2.360438,1.434235,1.260415,2.600062,0.948749,7.655245,9.077366,,,2.190979,1.489536,0.714756,0.571429,0.521008,0.1068,0.284841,0.657143,0.342857,0.006358,0.716735,0.488344,10.0,true,61740.0,61978.0,149.0,probe_L02R1,16,已复用 approach-1786530616063-0011 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-103056-715629_approach-1786530616063-0011_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102959_g0016.zip
L02R1O2-20260812-103108,2026-08-12T10:31:25.033,superseded,2026-08-12T10:42:38.698,操作者要求覆盖共享地图区块并从 0/3 重采,2,1,2,true,M1,geometric_centre,0.0,true,1,contaminated_hit,,executed,false,false,true,approach-1786530623820-0012,-1.0,reconstructed_citrus_1,-0.500235,0.279886,0.503054,0.034178,0.236824,-0.889136,0.391602,-0.236824,0.889136,-0.391602,-0.409252,-0.061701,0.653499,-0.474422,-0.686093,-0.357628,0.419883,2.358662,1.20099,1.400156,2.353514,0.948804,7.313396,8.546474,,,2.190926,1.489622,0.714713,0.571429,0.521008,0.1068,0.284841,0.657143,0.342857,0.006358,0.716735,0.488344,10.0,true,61740.0,61978.0,149.0,probe_L02R1,16,已复用 approach-1786530623820-0012 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-103118-813737_approach-1786530623820-0012_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102959_g0016.zip
L02R1O3-20260812-103126,2026-08-12T10:32:24.906,superseded,2026-08-12T10:42:38.698,操作者要求覆盖共享地图区块并从 0/3 重采,2,1,3,true,M3,straight_line,,true,0,miss,,executed,false,false,true,approach-1786530631684-0013,-1.0,reconstructed_citrus_1,-0.500235,0.279886,0.503054,0.034178,0.943692,-0.283266,0.170898,-0.943692,0.283266,-0.170898,-0.137689,0.171061,0.568709,-0.160689,-0.748083,-0.051469,0.641796,2.614044,1.839956,2.160345,2.6213,1.096428,9.235789,10.552574,,,2.845212,1.721392,1.050599,0.0,0.0,0.010677,,0.828571,0.171429,-0.009101,0.469725,0.625174,10.0,true,61740.0,61978.0,149.0,probe_L02R1,16,已复用 approach-1786530631684-0013 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-103138-563918_approach-1786530631684-0013_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-102959_g0016.zip
L01R1O1-20260812-105850,2026-08-12T11:00:35.810,superseded,2026-08-12T11:41:50.026,操作者要求覆盖共享地图区块并从 0/3 重采,1,1,1,true,M1,geometric_centre,0.0,true,2,clean_hit,,executed,false,false,true,approach-1786532400323-0001,-1.0,reconstructed_citrus_1,-0.490962,0.162316,0.771135,0.02754,0.4411,-0.838722,-0.319336,-0.4411,0.838722,0.319336,-0.32443,-0.154335,0.650573,-0.335776,-0.47706,-0.370241,0.722903,4.505848,1.548272,1.560424,4.58192,1.998425,12.196592,13.551062,1,false,4.872956,3.137527,1.776553,1.0,0.991597,0.181509,0.326903,0.771429,0.228571,0.019062,0.578319,0.56084,10.0,true,61187.0,61461.0,266.0,probe_L01R1,18,已复用 approach-1786532400323-0001 完成入口、直线伸入和原路返回；未重新规划，未发送 OUTPUT_0/OUTPUT_1 或任何末端 IO,/home/catas/elfin_citrus_data/approach_results/approach_20260812-110033-107304_approach-1786532400323-0001_executed.json,/home/catas/elfin_citrus_data/nbv_batches/semantic_nbv_batch_20260812-105943_g0018.zip
