batch,weight,safe,idx,entry_dist_m,light,local_light,utility,unknown,patch_count,valid,eligible,geom_s,patch_deg
g0001,0.0,True,382,0.16173678768201954,0.8571428571428571,0.7394957983193277,0.38444983798260757,0.6111111111111112,1,1,82,0.981,32.87637631572219
g0001,0.2,True,382,0.16173678768201954,0.8571428571428571,0.7394957983193277,0.38444983798260757,0.6111111111111112,1,1,82,1.007,32.87637631572219
g0001,0.4,True,437,0.13284471576759252,0.5714285714285714,0.7058823529411765,0.38444983798260757,0.4444444444444444,1,1,82,1.021,32.87637631572219
g0001,0.6,True,403,0.11539497895369558,0.5714285714285714,0.7058823529411765,0.38444983798260757,0.4722222222222222,1,1,82,1.022,32.87637631572219
g0001,0.8,True,424,0.08197790582179557,0.5714285714285714,0.630252100840336,0.38444983798260757,0.5277777777777778,1,1,82,1.015,32.87637631572219
g0002,0.0,True,497,0.3248797221928498,1.0,0.9747899159663866,0.4794312767963728,0.3611111111111111,1,1,199,0.959,52.314402875090536
g0002,0.2,True,463,0.3020913656071823,1.0,0.9411764705882353,0.4794312767963728,0.3333333333333333,1,1,199,1.013,52.314402875090536
g0002,0.4,True,484,0.2641449215026316,1.0,0.9327731092436975,0.4794312767963728,0.2777777777777778,1,1,199,1.008,52.314402875090536
g0002,0.6,True,471,0.21041728115286717,0.8571428571428571,0.8487394957983192,0.4794312767963728,0.4444444444444444,1,1,199,1.015,52.314402875090536
g0002,0.8,True,458,0.17393677357184587,0.8571428571428571,0.7647058823529411,0.4794312767963728,0.5277777777777778,1,1,199,1.043,52.314402875090536
g0003,0.0,True,537,0.45631416160294896,0.42857142857142855,0.5126050420168067,0.35487435856833743,0.5428571428571428,2,2,66,2.426,28.723023125833127
g0003,0.2,True,495,0.40693078165685265,0.2857142857142857,0.319327731092437,0.35487435856833743,0.4857142857142857,2,2,66,2.498,28.723023125833127
g0003,0.4,True,453,0.35829225037092055,0.14285714285714285,0.29411764705882354,0.35487435856833743,0.6285714285714286,2,2,66,2.484,28.723023125833127
g0003,0.6,True,411,0.31556154522276464,0.2857142857142857,0.34453781512605036,0.35487435856833743,0.6571428571428571,2,2,66,2.492,28.723023125833127
g0003,0.8,True,411,0.31556154522276464,0.2857142857142857,0.34453781512605036,0.35487435856833743,0.6571428571428571,2,2,66,2.521,28.723023125833127
g0004,0.0,False,468,1.7932233159594144,1.0,0.9747899159663864,,0.9428571428571428,0,0,0,1.698,
g0004,0.2,False,468,1.7932233159594144,1.0,0.9747899159663864,,0.9428571428571428,0,0,0,1.756,
g0004,0.4,False,468,1.7932233159594144,1.0,0.9747899159663864,,0.9428571428571428,0,0,0,1.771,
g0004,0.6,False,468,1.7932233159594144,1.0,0.9747899159663864,,0.9428571428571428,0,0,0,1.772,
g0004,0.8,False,468,1.7932233159594144,1.0,0.9747899159663864,,0.9428571428571428,0,0,0,1.76,
g0005,0.0,True,65,0.39341559810903787,1.0,1.0,0.35281217041049323,0.5142857142857142,1,1,76,5.49,31.617975637827083
g0005,0.2,True,86,0.3670690641974768,1.0,0.9920634920634921,0.35281217041049323,0.5714285714285714,1,1,76,5.542,31.617975637827083
g0005,0.4,True,73,0.31508783248208716,1.0,1.0,0.35281217041049323,0.6857142857142857,1,1,76,5.528,31.617975637827083
g0005,0.6,True,89,0.1806682012382716,1.0,1.0,0.35281217041049323,0.7714285714285715,1,1,76,5.581,31.617975637827083
g0005,0.8,True,89,0.1806682012382716,1.0,1.0,0.35281217041049323,0.7714285714285715,1,1,76,5.525,31.617975637827083
g0006,0.0,True,390,0.43411427716870893,1.0,0.9915966386554622,0.48499174966186104,0.2571428571428571,1,1,346,3.492,71.08175007986993
g0006,0.2,True,369,0.42165680363778874,1.0,0.9915966386554622,0.48499174966186104,0.34285714285714286,1,1,346,3.562,71.08175007986993
g0006,0.4,True,403,0.40514116300307657,1.0,1.0,0.48499174966186104,0.2857142857142857,1,1,346,3.57,71.08175007986993
g0006,0.6,True,709,0.2959715028152142,1.0,0.9411764705882353,0.48499174966186104,0.8285714285714286,1,1,346,3.557,71.08175007986993
g0006,0.8,True,709,0.2959715028152142,1.0,0.9411764705882353,0.48499174966186104,0.8285714285714286,1,1,346,3.554,71.08175007986993
g0007,0.0,True,864,0.4100801230092659,1.0,1.0,0.3595077811298244,0.8055555555555556,1,1,274,1.716,62.299889712515515
g0007,0.2,True,466,0.22867338272047943,0.8571428571428571,0.8319327731092436,0.3595077811298244,0.6111111111111112,1,1,274,1.787,62.299889712515515
g0007,0.4,True,432,0.2246518925522047,0.8571428571428571,0.8403361344537814,0.3595077811298244,0.6388888888888888,1,1,274,1.788,62.299889712515515
g0007,0.6,True,411,0.21686516912746304,0.8571428571428571,0.8151260504201678,0.3595077811298244,0.7222222222222222,1,1,274,1.796,62.299889712515515
g0007,0.8,True,411,0.21686516912746304,0.8571428571428571,0.8151260504201678,0.3595077811298244,0.7222222222222222,1,1,274,1.848,62.299889712515515
g0008,0.0,True,301,0.14416244673740747,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1,1,183,6.505,50.01566646937025
g0008,0.2,True,301,0.14416244673740747,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1,1,183,6.535,50.01566646937025
g0008,0.4,True,301,0.14416244673740747,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1,1,183,6.498,50.01566646937025
g0008,0.6,True,301,0.14416244673740747,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1,1,183,6.451,50.01566646937025
g0008,0.8,True,280,0.10924537395071139,1.0,0.9523809523809523,0.45446093186483594,0.4,1,1,183,6.465,50.01566646937025
g0009,0.0,True,387,0.14187343888812387,1.0,0.9495798319327731,0.3982027546413977,0.5428571428571428,2,2,170,7.978,47.485151825903756
g0009,0.2,True,298,0.11172224771489778,0.8571428571428571,0.8319327731092436,0.3982027546413977,0.45714285714285713,2,2,170,7.993,47.485151825903756
g0009,0.4,True,298,0.11172224771489778,0.8571428571428571,0.8319327731092436,0.3982027546413977,0.45714285714285713,2,2,170,7.979,47.485151825903756
g0009,0.6,True,298,0.11172224771489778,0.8571428571428571,0.8319327731092436,0.3982027546413977,0.45714285714285713,2,2,170,7.993,47.485151825903756
g0009,0.8,True,264,0.1033893889294869,0.7142857142857143,0.7698412698412699,0.3982027546413977,0.45714285714285713,2,2,170,8.087,47.485151825903756
g0010,0.0,True,285,0.1897047898128623,0.8571428571428571,0.6587301587301587,0.4107260885672413,0.6,2,1,262,4.247,60.51553871629864
g0010,0.2,True,285,0.1897047898128623,0.8571428571428571,0.6587301587301587,0.4107260885672413,0.6,2,1,262,4.286,60.51553871629864
