batch,weight,safe,idx,entry_dist_m,light,local_light,utility,unknown,patch_count,valid,eligible,ang_rad,geom_s
g0001,0.0,True,382,0.6415,0.8571,0.7395,0.262,0.6111,1,1,83,33.08,1.11
g0001,0.2,True,471,0.6079,0.5714,0.6975,0.2549,0.3889,1,1,83,33.08,1.12
g0001,0.4,True,471,0.6079,0.5714,0.6975,0.2549,0.3889,1,1,83,33.08,1.13
g0001,0.6,True,471,0.6079,0.5714,0.6975,0.2549,0.3889,1,1,83,33.08,1.12
g0001,0.8,True,526,0.5972,0.5714,0.5966,0.2035,0.6944,1,1,83,33.08,1.13
g0002,0.0,True,497,0.5961,1.0,0.9748,0.4231,0.3611,1,1,202,52.74,1.05
g0002,0.2,True,463,0.5855,1.0,0.9412,0.416,0.3333,1,1,202,52.74,1.12
g0002,0.4,True,484,0.5549,1.0,0.9328,0.3912,0.2778,1,1,202,52.74,1.1
g0002,0.6,True,484,0.5549,1.0,0.9328,0.3912,0.2778,1,1,202,52.74,1.06
g0002,0.8,True,539,0.5366,0.8571,0.9076,0.3382,0.4722,1,1,202,52.74,1.12
g0003,0.0,True,537,0.6325,0.4286,0.5126,0.2273,0.5429,2,2,70,29.19,2.58
g0003,0.2,True,516,0.5761,0.2857,0.4202,0.2281,0.3714,2,2,70,29.19,2.61
g0003,0.4,True,453,0.4111,0.1429,0.2941,0.1658,0.6286,2,2,70,29.19,2.71
g0003,0.6,True,466,0.3219,0.4286,0.4034,0.104,0.7429,2,2,70,29.19,2.67
g0003,0.8,True,466,0.3219,0.4286,0.4034,0.104,0.7429,2,2,70,29.19,2.71
g0004,0.0,False,468,2.0479,1.0,0.9748,0.0464,0.9429,0,0,0,0.0,1.93
g0004,0.2,False,468,2.0479,1.0,0.9748,0.0464,0.9429,0,0,0,0.0,1.97
g0004,0.4,False,468,2.0479,1.0,0.9748,0.0464,0.9429,0,0,0,0.0,1.98
g0004,0.6,False,468,2.0479,1.0,0.9748,0.0464,0.9429,0,0,0,0.0,1.98
g0004,0.8,False,468,2.0479,1.0,0.9748,0.0464,0.9429,0,0,0,0.0,1.99
g0005,0.0,True,47,0.8665,1.0,1.0,0.5468,0.2857,1,1,485,86.98,11.54
g0005,0.2,True,60,0.8411,1.0,1.0,0.5419,0.2,1,1,485,86.98,11.52
g0005,0.4,True,60,0.8411,1.0,1.0,0.5419,0.2,1,1,485,86.98,11.62
g0005,0.6,True,225,0.703,1.0,1.0,0.2772,0.6571,1,1,485,86.98,11.63
g0005,0.8,True,314,0.6849,1.0,0.9748,0.2048,0.6857,1,1,485,86.98,11.72
g0006,0.0,True,390,0.4471,1.0,0.9916,0.4457,0.2571,1,1,385,75.64,4.14
g0006,0.2,True,390,0.4471,1.0,0.9916,0.4457,0.2571,1,1,385,75.64,4.2
g0006,0.4,True,424,0.4075,1.0,1.0,0.4209,0.2571,1,1,385,75.64,4.22
g0006,0.6,True,403,0.3825,1.0,1.0,0.4007,0.2857,1,1,385,75.64,4.26
g0006,0.8,True,471,0.3321,1.0,0.9412,0.2758,0.5429,1,1,385,75.64,4.2
g0007,0.0,True,775,0.6111,1.0,0.9841,0.2418,0.6389,1,1,404,77.82,2.75
g0007,0.2,True,589,0.4454,0.7143,0.8739,0.2008,0.75,1,1,404,77.82,2.78
g0007,0.4,True,649,0.3511,1.0,0.9916,0.1568,0.7222,1,1,404,77.82,2.77
g0007,0.6,True,560,0.3246,1.0,0.9412,0.1381,0.8056,1,1,404,77.82,2.78
g0007,0.8,True,560,0.3246,1.0,0.9412,0.1381,0.8056,1,1,404,77.82,2.77
g0008,0.0,True,267,1.1199,1.0,0.8968,0.4344,0.2571,1,1,209,53.72,8.47
g0008,0.2,True,322,1.1087,1.0,0.9683,0.4232,0.4286,1,1,209,53.72,8.51
g0008,0.4,True,322,1.1087,1.0,0.9683,0.4232,0.4286,1,1,209,53.72,8.58
g0008,0.6,True,322,1.1087,1.0,0.9683,0.4232,0.4286,1,1,209,53.72,8.52
g0008,0.8,True,356,1.1069,1.0,1.0,0.3729,0.7429,1,1,209,53.72,8.51
g0009,0.0,True,387,1.3516,1.0,0.958,0.4324,0.2857,2,2,218,51.32,9.84
