batch,target_index,candidate_rank,sample_index,patch_index,roll_strategy,repeat,plan_wall_s,moveit_reported_plan_s,eta_entry_s,insert_leg_tfs_s,retreat_leg_tfs_s,return_leg_tfs_s,four_leg_tfs_sum_s,entry_linf_rad,entry_l2_rad,entry_mean_abs_rad,linf_bound_s,linf_trapezoid_bound_s,eta_minus_bound_s,bound_holds,bound_ratio,trapezoid_bound_holds,entry_distance_m,light_transmission,local_light,patch_utility,unknown_fraction,insert_fraction,legs_with_time_from_start,execution_wall_s,execution_source
g0001,0,1,492,0,roll+0.0,1,0.027847,0.021453,0.499633,0.405339,0.405339,0.499633,1.809943,0.753024,0.987268,0.318045,0.479632923,0.604632923,0.02,True,1.041699,False,0.175177,0.7142857142857143,0.5882352941176471,0.38444983798260757,0.6111111111111112,1.0,4,,unmeasured_offline
g0001,0,1,492,0,roll+0.0,2,0.033695,0.0116,0.501147,0.459616,0.459616,0.501147,1.921526,0.755401,0.989492,0.318592,0.481147285,0.606147285,0.02,True,1.041567,False,0.175177,0.7142857142857143,0.5882352941176471,0.38444983798260757,0.6111111111111112,1.0,4,,unmeasured_offline
g0001,0,1,492,0,roll+0.0,3,0.023003,0.016118,0.500301,2.762228,2.762228,0.500301,6.525058,0.754073,0.987361,0.318291,0.480301355,0.605301355,0.02,True,1.041641,False,0.175177,0.7142857142857143,0.5882352941176471,0.38444983798260757,0.6111111111111112,1.0,4,,unmeasured_offline
g0001,0,1,492,0,roll+0.0,4,0.018448,0.01179,0.501175,0.459493,0.459493,0.501175,1.921336,0.755444,0.989753,0.318492,0.481174647,0.606174647,0.02,True,1.041565,False,0.175177,0.7142857142857143,0.5882352941176471,0.38444983798260757,0.6111111111111112,1.0,4,,unmeasured_offline
g0001,0,1,492,0,roll+0.0,5,0.032857,0.022312,0.50096,0.462078,0.462078,0.50096,1.926076,0.755108,0.989459,0.318623,0.480960198,0.605960198,0.02,True,1.041583,False,0.175177,0.7142857142857143,0.5882352941176471,0.38444983798260757,0.6111111111111112,1.0,4,,unmeasured_offline
g0002,0,1,505,0,roll+0.0,1,0.020638,0.011575,0.569039,0.38278,0.38278,0.569039,1.903637,0.893391,1.314622,0.454415,0.569038628,0.694038628,-0.0,True,1.0,False,0.217514,0.8571428571428571,0.8739495798319328,0.4794312767963728,0.4444444444444444,1.0,4,,unmeasured_offline
g0002,0,1,505,0,roll+0.0,2,0.031688,0.025653,0.567813,0.481664,0.481664,0.567813,2.098953,0.891467,1.312767,0.453791,0.567813154,0.692813154,0.0,True,1.0,False,0.217514,0.8571428571428571,0.8739495798319328,0.4794312767963728,0.4444444444444444,1.0,4,,unmeasured_offline
g0002,0,1,505,0,roll+0.0,3,0.017751,0.011421,0.568278,0.425654,0.425654,0.568278,1.987865,0.892197,1.313387,0.454141,0.568278198,0.693278198,0.0,True,1.0,False,0.217514,0.8571428571428571,0.8739495798319328,0.4794312767963728,0.4444444444444444,1.0,4,,unmeasured_offline
g0002,0,1,505,0,roll+0.0,4,0.028184,0.021788,0.568489,0.478939,0.478939,0.568489,2.094855,0.892527,1.313821,0.454384,0.568488513,0.693488513,0.0,True,1.0,False,0.217514,0.8571428571428571,0.8739495798319328,0.4794312767963728,0.4444444444444444,1.0,4,,unmeasured_offline
g0002,0,1,505,0,roll+0.0,5,0.031717,0.022252,0.568119,0.42568,0.42568,0.568119,1.9876,0.891948,1.313214,0.45401,0.568119473,0.693119473,-0.0,True,1.0,False,0.217514,0.8571428571428571,0.8739495798319328,0.4794312767963728,0.4444444444444444,1.0,4,,unmeasured_offline
g0003,0,1,466,1,roll+0.0,1,0.034619,0.021845,2.720752,0.361812,0.361812,2.720752,6.165128,4.271581,6.573382,2.100011,2.720752006,2.845752006,0.0,True,1.0,False,0.265314,0.42857142857142855,0.4033613445378151,0.35487435856833743,0.7428571428571429,1.0,4,,unmeasured_offline
g0003,0,1,466,1,roll+0.0,2,0.029652,0.022534,3.02367,0.363379,0.363379,3.02367,6.774097,4.747162,7.401445,2.476424,3.023669776,3.148669776,0.0,True,1.0,False,0.265314,0.42857142857142855,0.4033613445378151,0.35487435856833743,0.7428571428571429,1.0,4,,unmeasured_offline
g0003,0,1,466,1,roll+0.0,3,0.029363,0.022507,2.735985,0.363256,0.363256,2.735985,6.198481,4.271961,7.898,2.926817,2.720994077,2.845994077,0.014990698,True,1.005509,False,0.265314,0.42857142857142855,0.4033613445378151,0.35487435856833743,0.7428571428571429,1.0,4,,unmeasured_offline
g0003,0,1,466,1,roll+0.0,4,0.026808,0.021706,0.62224,0.361837,0.361837,0.62224,1.968155,0.976917,1.48667,0.511634,0.622240277,0.747240277,-0.0,True,1.0,False,0.265314,0.42857142857142855,0.4033613445378151,0.35487435856833743,0.7428571428571429,1.0,4,,unmeasured_offline
g0003,0,1,466,1,roll+0.0,5,0.015731,0.011309,0.621887,0.361255,0.361255,0.621887,1.966283,0.976362,1.485871,0.511503,0.621886942,0.746886942,-0.0,True,1.0,False,0.265314,0.42857142857142855,0.4033613445378151,0.35487435856833743,0.7428571428571429,1.0,4,,unmeasured_offline
g0005,0,1,136,0,roll+0.0,1,0.04466,0.025078,0.650543,0.362631,0.362631,0.650543,2.026349,1.021353,1.50649,0.52422,0.650543476,0.775543476,0.0,True,1.0,False,0.354687,1.0,1.0,0.35281217041049323,0.8,1.0,4,,unmeasured_offline
g0005,0,1,136,0,roll+0.0,2,0.027932,0.021306,0.650366,2.339668,2.339668,0.650366,5.980068,1.021075,1.506261,0.524178,0.650366217,0.775366217,-0.0,True,1.0,False,0.354687,1.0,1.0,0.35281217041049323,0.8,1.0,4,,unmeasured_offline
g0005,0,1,136,0,roll+0.0,3,0.018519,0.011583,0.650668,0.362828,0.362828,0.650668,2.026992,1.021549,1.505066,0.523415,0.650668452,0.775668452,-0.0,True,1.0,False,0.354687,1.0,1.0,0.35281217041049323,0.8,1.0,4,,unmeasured_offline
g0005,0,1,136,0,roll+0.0,4,0.029488,0.022494,0.649361,0.362509,0.362509,0.649361,2.02374,1.019496,1.504843,0.523741,0.649360673,0.774360673,-0.0,True,1.0,False,0.354687,1.0,1.0,0.35281217041049323,0.8,1.0,4,,unmeasured_offline
g0005,0,1,136,0,roll+0.0,5,0.035971,0.024601,1.860932,0.36252,0.36252,1.860932,4.446905,2.921663,4.589421,1.51058,1.860932089,1.985932089,0.0,True,1.0,False,0.354687,1.0,1.0,0.35281217041049323,0.8,1.0,4,,unmeasured_offline
g0007,0,1,589,0,roll+0.0,1,0.029661,0.012418,0.20897,0.351628,0.351628,0.20897,1.121196,0.265283,0.442731,0.146629,0.168970092,0.293970092,0.04,True,1.236728,False,0.045358,0.7142857142857143,0.8739495798319328,0.3595077811298244,0.8055555555555556,1.0,4,,unmeasured_offline
g0007,0,1,589,0,roll+0.0,2,0.017924,0.011193,0.208778,0.381368,0.381368,0.208778,1.180293,0.264982,0.443088,0.146773,0.168778275,0.293778275,0.04,True,1.236997,False,0.045358,0.7142857142857143,0.8739495798319328,0.3595077811298244,0.8055555555555556,1.0,4,,unmeasured_offline
g0007,0,1,589,0,roll+0.0,3,0.027764,0.021184,0.208748,0.381726,0.381726,0.208748,1.180948,0.266252,0.44319,0.146813,0.169587526,0.294587526,0.039160769,True,1.230918,False,0.045358,0.7142857142857143,0.8739495798319328,0.3595077811298244,0.8055555555555556,1.0,4,,unmeasured_offline
g0007,0,1,589,0,roll+0.0,4,0.031106,0.021517,0.208866,0.381686,0.381686,0.208866,1.181104,0.266428,0.443697,0.146997,0.169699496,0.294699496,0.03916648,True,1.230799,False,0.045358,0.7142857142857143,0.8739495798319328,0.3595077811298244,0.8055555555555556,1.0,4,,unmeasured_offline
g0007,0,1,589,0,roll+0.0,5,0.029085,0.021631,0.208096,0.379983,0.379983,0.208096,1.176158,0.265278,0.442998,0.14691,0.168966698,0.293966698,0.0391291,True,1.231579,False,0.045358,0.7142857142857143,0.8739495798319328,0.3595077811298244,0.8055555555555556,1.0,4,,unmeasured_offline
g0008,0,1,301,0,roll+0.0,1,0.02953,0.022374,2.005964,1.368168,1.368168,2.005964,6.748264,3.149364,4.425955,1.40617,2.005964351,2.130964351,0.0,True,1.0,False,0.294878,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1.0,4,,unmeasured_offline
g0008,0,1,301,0,roll+0.0,2,0.049338,0.022223,0.477165,1.361554,1.361554,0.477165,3.677439,0.68635,1.150542,0.412603,0.43716535,0.56216535,0.04,True,1.091499,False,0.294878,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1.0,4,,unmeasured_offline
g0008,0,1,301,0,roll+0.0,3,0.029876,0.021974,2.008962,1.365342,1.365342,2.008962,6.748607,3.15407,4.432203,1.407663,2.008961592,2.133961592,0.0,True,1.0,False,0.294878,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1.0,4,,unmeasured_offline
g0008,0,1,301,0,roll+0.0,4,0.01738,0.011359,0.476412,3.358018,3.358018,0.476412,7.668859,0.685166,1.151258,0.412356,0.436411696,0.561411696,0.04,True,1.091657,False,0.294878,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1.0,4,,unmeasured_offline
g0008,0,1,301,0,roll+0.0,5,0.032972,0.023308,0.475926,1.361514,1.361514,0.475926,3.67488,0.684404,1.148973,0.412346,0.435926145,0.560926145,0.04,True,1.091759,False,0.294878,1.0,0.9663865546218489,0.45446093186483594,0.45714285714285713,1.0,4,,unmeasured_offline
g0010,0,1,416,1,roll+0.0,1,0.02822,0.021702,0.45938,0.622896,0.622896,0.45938,2.164552,0.627026,1.052735,0.412398,0.399379872,0.524379872,0.06,True,1.150233,False,0.292628,0.8571428571428571,0.7983193277310923,0.4107260885672413,0.7142857142857143,1.0,4,,unmeasured_offline
g0010,0,1,416,1,roll+0.0,2,0.018802,0.011685,0.459255,0.621012,0.621012,0.459255,2.160533,0.62683,1.052042,0.412202,0.399254894,0.524254894,0.06,True,1.15028,False,0.292628,0.8571428571428571,0.7983193277310923,0.4107260885672413,0.7142857142857143,1.0,4,,unmeasured_offline
g0010,0,1,416,1,roll+0.0,3,0.017578,0.011303,0.459584,0.622671,0.622671,0.459584,2.164511,0.627347,1.052408,0.412225,0.399584388,0.524584388,0.06,True,1.150156,False,0.292628,0.8571428571428571,0.7983193277310923,0.4107260885672413,0.7142857142857143,1.0,4,,unmeasured_offline
g0010,0,1,416,1,roll+0.0,4,0.026553,0.0157,0.459418,0.620833,0.620833,0.459418,2.160503,0.627086,1.051762,0.412002,0.399418003,0.524418003,0.06,True,1.150219,False,0.292628,0.8571428571428571,0.7983193277310923,0.4107260885672413,0.7142857142857143,1.0,4,,unmeasured_offline
g0010,0,1,416,1,roll+0.0,5,0.030903,0.022114,0.459273,0.621504,0.621504,0.459273,2.161555,0.626859,1.05314,0.412643,0.399273142,0.524273142,0.06,True,1.150273,False,0.292628,0.8571428571428571,0.7983193277310923,0.4107260885672413,0.7142857142857143,1.0,4,,unmeasured_offline
g0011,0,1,18,0,roll+0.0,1,0.017285,0.011313,1.004781,0.576474,0.576474,1.004781,3.162511,1.577507,2.725489,1.024063,1.004781477,1.129781477,-0.0,True,1.0,False,0.393915,0.5714285714285714,0.3888888888888888,0.3427371319571846,0.6571428571428571,1.0,4,,unmeasured_offline
g0011,0,1,18,0,roll+0.0,2,0.017585,0.011495,1.005299,0.577254,0.577254,1.005299,3.165106,1.578319,2.726185,1.024365,1.005298685,1.130298685,0.0,True,1.0,False,0.393915,0.5714285714285714,0.3888888888888888,0.3427371319571846,0.6571428571428571,1.0,4,,unmeasured_offline
g0011,0,1,18,0,roll+0.0,3,0.029634,0.021893,2.893671,3.205718,3.205718,2.893671,12.198779,4.543064,7.011363,2.411387,2.893671302,3.018671302,0.0,True,1.0,False,0.393915,0.5714285714285714,0.3888888888888888,0.3427371319571846,0.6571428571428571,1.0,4,,unmeasured_offline
g0011,0,1,18,0,roll+0.0,4,0.035997,0.011402,1.005706,0.577203,0.577203,1.005706,3.165818,1.578959,2.725854,1.024329,1.00570627,1.13070627,-0.0,True,1.0,False,0.393915,0.5714285714285714,0.3888888888888888,0.3427371319571846,0.6571428571428571,1.0,4,,unmeasured_offline
g0011,0,1,18,0,roll+0.0,5,0.032013,0.02216,1.004813,0.576226,0.576226,1.004813,3.162079,1.577557,2.725896,1.024154,1.004813416,1.129813416,-0.0,True,1.0,False,0.393915,0.5714285714285714,0.3888888888888888,0.3427371319571846,0.6571428571428571,1.0,4,,unmeasured_offline
g0011,0,2,261,1,roll+0.0,1,0.038528,0.023254,0.612471,4.406828,4.406828,0.612471,10.038598,0.961579,1.525004,0.533066,0.612470903,0.737470903,0.0,True,1.0,False,0.443362,0.42857142857142855,0.47619047619047616,0.2815884335588232,0.8285714285714286,1.0,4,,unmeasured_offline
g0011,0,2,261,1,roll+0.0,2,0.041958,0.024763,2.613922,3.124426,3.124426,2.613922,11.476696,4.103858,6.596919,2.182464,2.613922072,2.738922072,0.0,True,1.0,False,0.443362,0.42857142857142855,0.47619047619047616,0.2815884335588232,0.8285714285714286,1.0,4,,unmeasured_offline
g0011,0,2,261,1,roll+0.0,3,0.04391,0.024889,2.61344,4.406907,4.406907,2.61344,14.040694,4.103101,6.595161,2.18183,2.613440258,2.738440258,0.0,True,1.0,False,0.443362,0.42857142857142855,0.47619047619047616,0.2815884335588232,0.8285714285714286,1.0,4,,unmeasured_offline
g0011,0,2,261,1,roll+0.0,4,0.040369,0.025282,2.613387,7.310247,7.310247,2.613387,19.847268,4.103018,6.594996,2.181736,2.613387427,2.738387427,-0.0,True,1.0,False,0.443362,0.42857142857142855,0.47619047619047616,0.2815884335588232,0.8285714285714286,1.0,4,,unmeasured_offline
g0011,0,2,261,1,roll+0.0,5,0.038367,0.02289,0.612986,4.427894,4.427894,0.612986,10.081759,0.962388,1.525683,0.533113,0.612985705,0.737985705,0.0,True,1.0,False,0.443362,0.42857142857142855,0.47619047619047616,0.2815884335588232,0.8285714285714286,1.0,4,,unmeasured_offline
