accountsservice	0.6.55-0ubuntu12~20.04.7	arm64
acl	2.2.53-6	arm64
adduser	3.118ubuntu2	all
adwaita-icon-theme	3.36.1-2ubuntu0.20.04.2	all
alsa-base	1.0.25+dfsg-0ubuntu5	all
alsa-ucm-conf	1.2.2-1ubuntu0.13	all
alsa-utils	1.2.2-1ubuntu2.1	arm64
anacron	2.3-29	arm64
apg	2.2.3.dfsg.1-5	arm64
app-install-data-partner	19.04	all
apparmor	2.13.3-7ubuntu5.3	arm64
apport	2.20.11-0ubuntu27.27	all
apport-gtk	2.20.11-0ubuntu27.27	all
apport-symptoms	0.23	all
appstream	0.12.10-2	arm64
apt	2.0.10	arm64
apt-config-icons	0.12.10-2	all
apt-config-icons-hidpi	0.12.10-2	all
apt-transport-https	2.0.11	all
apt-utils	2.0.10	arm64
aptdaemon	1.1.1+bzr982-0ubuntu32.3	all
aptdaemon-data	1.1.1+bzr982-0ubuntu32.3	all
apturl	0.5.2ubuntu19	arm64
apturl-common	0.5.2ubuntu19	arm64
aspell	0.60.8-1ubuntu0.1	arm64
aspell-en	2018.04.16-0-1	all
at	3.1.23-1ubuntu1	arm64
at-spi2-core	2.36.0-2	arm64
autoconf	2.69-11.1	all
automake	1:1.16.1-4ubuntu6	all
autopoint	0.19.8.1-10build1	all
autotools-dev	20180224.1	all
avahi-autoipd	0.7-4ubuntu7.3	arm64
avahi-daemon	0.7-4ubuntu7.3	arm64
avahi-utils	0.7-4ubuntu7.3	arm64
awesunhost	5.8.1.29563	arm64
baobab	3.34.0-1	arm64
base-files	11ubuntu5.8	arm64
base-passwd	3.5.47	arm64
bash	5.0-6ubuntu1.2	arm64
bash-completion	1:2.10-1ubuntu1	all
bc	1.07.1-2build1	arm64
bind9-host	1:9.16.48-0ubuntu0.20.04.1	arm64
bind9-libs:arm64	1:9.16.48-0ubuntu0.20.04.1	arm64
binfmt-support	2.2.0-2	arm64
binutils	2.34-6ubuntu1.9	arm64
binutils-aarch64-linux-gnu	2.34-6ubuntu1.9	arm64
binutils-common:arm64	2.34-6ubuntu1.9	arm64
bison	2:3.5.1+dfsg-1	arm64
blt	2.5.3+dfsg-4	arm64
bluez	5.53-0ubuntu3.8	arm64
bluez-obexd	5.53-0ubuntu3.8	arm64
bolt	0.9.1-2~ubuntu20.04.2	arm64
branding-ubuntu	0.10	all
bridge-utils	1.6-2ubuntu1	arm64
brltty	6.0+dfsg-4ubuntu6	arm64
brz	3.0.2-4ubuntu2	all
bsdmainutils	11.1.2ubuntu3	arm64
bsdutils	1:2.34-0.1ubuntu9.6	arm64
bubblewrap	0.4.0-1ubuntu4.1	arm64
build-essential	12.8ubuntu1.1	arm64
busybox-initramfs	1:1.30.1-4ubuntu6.4	arm64
bzip2	1.0.8-2	arm64
bzip2-doc	1.0.8-2	all
bzr	2.7.0+bzr6622+brz	all
ca-certificates	20240203~20.04.1	all
ca-certificates-mono	6.8.0.105+dfsg-2	all
can-utils	2018.02.0-1ubuntu1	arm64
cheese	3.34.0-1ubuntu1	arm64
cheese-common	3.34.0-1ubuntu1	all
cli-common	0.10	all
