# source,实体 FREE (DI bit 5)
stamp,status,handoff_progress,model_alignment,model_scale_estimate,model_normalized_residual,model_excited_joints,model_direction_mismatches,model_validation_passed,settling,position_elfin_joint1,position_elfin_joint2,position_elfin_joint3,position_elfin_joint4,position_elfin_joint5,position_elfin_joint6,velocity_elfin_joint1,velocity_elfin_joint2,velocity_elfin_joint3,velocity_elfin_joint4,velocity_elfin_joint5,velocity_elfin_joint6,measured_effort_elfin_joint1,measured_effort_elfin_joint2,measured_effort_elfin_joint3,measured_effort_elfin_joint4,measured_effort_elfin_joint5,measured_effort_elfin_joint6,gravity_effort_elfin_joint1,gravity_effort_elfin_joint2,gravity_effort_elfin_joint3,gravity_effort_elfin_joint4,gravity_effort_elfin_joint5,gravity_effort_elfin_joint6,commanded_effort_elfin_joint1,commanded_effort_elfin_joint2,commanded_effort_elfin_joint3,commanded_effort_elfin_joint4,commanded_effort_elfin_joint5,commanded_effort_elfin_joint6,effective_scale_elfin_joint1,effective_scale_elfin_joint2,effective_scale_elfin_joint3,effective_scale_elfin_joint4,effective_scale_elfin_joint5,effective_scale_elfin_joint6
# event,1785141048.3844817,ACTIVE,零力拖拽 ACTIVE；末端灯环应由固件进入蓝色零力示教状态
1785141048.3294268,1,0,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751366165752125,0.56019535520367292,-0.75520788371408887,-0.091107162778516104,-2.2005058819228602,0.16554557392629465,0,0,-0.00035610946322728857,0,0,0,0.63716769496700609,-55.473412443064966,24.753379317016428,0.55776845391878516,-1.1506693249786386,-0.063223589284540582,-8.7895291788489971e-16,-45.182368745312502,19.745912019615993,0.69135345353301036,-1.5940979427822126,-0.070190029518230321,0.63716769496700609,-55.473412443064966,24.753379317016428,0.55776845391878516,-1.1506693249786386,-0.063223589284540582,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.3494267,1,0.0046719999999999999,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751556014859537,0.56019535520367292,-0.7552069344685518,-0.091103840419136398,-2.2005058819228602,0.16554462468075762,0,0,0.00035610946322728857,0,0.00035610946322728857,0,0.79645961870875759,-55.314120519323211,24.945713266643597,0.55776845391878516,-1.2138929142631794,0.107480101783719,-1.3124251975008305e-15,-45.182369476691058,19.745912921730167,0.69137726877873618,-1.5940921572199112,-0.070194342875707097,0.6341908474961202,-55.425332690326066,24.729699546447069,0.55839267430181083,-1.1528050961542509,-0.063256156645318515,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.3694267,1,0.018176000000000001,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751745863966947,0.56019535520367292,-0.7552069344685518,-0.091103365796367866,-2.2005063565456284,0.16554462468075762,0,0,0.00035610946322728857,0,0,0,0.79645961870875759,-54.836244748097961,24.657212342202847,0.38466789925433453,-1.1127351714079143,-0.031611794642270291,-1.9960149969726687e-16,-45.182365460299337,19.745908930702395,0.69138066793998998,-1.5940959176105844,-0.070195172595648961,0.62558653494328575,-55.286362373106215,24.662078647704202,0.56019698952083452,-1.1587290467263169,-0.063350304782803291,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.3894267,1,0.039744000000000008,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751840788520654,0.56019582982644145,-0.75520788371408887,-0.091103365796367866,-2.2005063565456284,0.16554415005798909,0,0.00035610946322728857,-0.00035610946322728857,0,0.00035610946322728857,-0.00035610946322728857,1.2743353899340122,-54.995536671839709,24.580278762351977,0.65393542873236876,-1.1127351714079143,-0.063223589284540582,-7.0735977722260984e-16,-45.182380045454934,19.745905068773048,0.6913815312130851,-1.5941070199576013,-0.070196047668572223,0.61184410209823736,-55.064832982810223,24.554647148064827,0.56307877206276979,-1.1683574124312635,-0.063436602967174627,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.4094267,1,0.068608000000000002,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751840788520654,0.56019630444920998,-0.7552083583368574,-0.091102891173599335,-2.2005049326773229,0.16554462468075762,0,0,0,0.00035610946322728857,0,0,0.95575154245050908,-55.314120519323211,24.118677283246775,0.75010240354595237,-1.2138929142631794,-0.23392728035280017,-1.0148322676851137e-15,-45.182407593777327,19.74591418252529,0.69138391280368605,-1.5941033505823758,-0.070196158219322888,0.59345289375070964,-54.767367182365042,24.409827149069258,0.56681090500983089,-1.1810924466072599,-0.06370196329401813,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.4294267,1,0.10400000000000002,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751840788520654,0.56019677907197851,-0.75521025682793153,-0.091103365796367866,-2.2005039834317861,0.16554462468075762,0,0,0,-0.00035610946322728857,0.00035610946322728857,0,1.4336273136757636,-54.517660900614452,24.195610863097645,0.92320295821040299,-1.1127351714079143,0.037934153570724355,-8.2707807700942759e-16,-45.182427946079841,19.745915919621336,0.69138079640594763,-1.5941141068492861,-0.070196155008672781,0.57090225469043732,-54.403150055378511,24.232603123687337,0.57178877584957954,-1.1968516819965669,-0.06394873611985033,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.4494267,1,0.14515200000000003,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751840788520654,0.56019772831751558,-0.75521073145070006,-0.091102416550830817,-2.2005039834317861,0.16554415005798909,0,0.00035610946322728857,0,0,0,0,0.31858384748350305,-53.880493205647447,23.657075804141574,0.4616014791052015,-1.1506693249786386,-0.16438133213980552,-3.1674221250165773e-16,-45.182460461181343,19.745911739943001,0.69138816663927083,-1.5941255005844024,-0.07019824245528912,0.54468152970715511,-53.980087512346465,24.026535383269067,0.57716362245958908,-1.2150378757801665,-0.064235974141581068,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.4694266,1,0.19129600000000002,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.17751840788520654,0.56019915218582117,-0.75521357918731125,-0.091102891173599335,-2.2005039834317861,0.16554462468075762,0.00035610946322728857,0.00035610946322728857,-0.00035610946322728857,0,0,0.00035610946322728857,-0.59734471403156819,-53.880493205647447,24.022510308433194,0.65393542873236876,-1.1822811196209089,-0.20231548571052987,-1.1545988554321631e-15,-45.182505222768341,19.745901153601739,0.69138507823258144,-1.5941577677481276,-0.070199281312731607,0.51485273223472472,-53.505230386806979,23.795753661838436,0.58332877968351715,-1.2355068901266708,-0.064622110970146321,1,1.8307835762794629,1.7616246212198707,1,1,1
1785141048.4894266,1,0.24166399999999999,0.99988095031166135,1.2313761866650275,0.015430009846035611,3,0,1,0,0.177517933262438,0.56020057605412676,-0.75521642692392243,-0.091102891173599335,-2.2005044580545543,0.16554367543522056,0,0.00035610946322728857,0,0,-0.00035610946322728857,-0.00071221892645457715,0.63716769496700609,-53.561909358163945,23.560908829327992,0.75010240354595237,-1.2834388624761739,-0.063223589284540582,-7.1405486692270395e-16,-45.182545336476132,19.745885944904114,0.69138720753683924,-1.5941944658697662,-0.070201885034938558,0.4831872011304994,-52.986907665974151,23.543248438738278,0.59005929639313859,-1.257789284923571,-0.064781792742002936,1,1.8307835762794629,1.7616246212198707,1,1,1
