pose,approach,elfin_joint1,elfin_joint2,elfin_joint3,elfin_joint4,elfin_joint5,elfin_joint6,effort_elfin_joint1,effort_elfin_joint2,effort_elfin_joint3,effort_elfin_joint4,effort_elfin_joint5,effort_elfin_joint6,stddev_elfin_joint1,stddev_elfin_joint2,stddev_elfin_joint3,stddev_elfin_joint4,stddev_elfin_joint5,stddev_elfin_joint6,reported_speed_peak,position_span
拟合 A,first,0.0022850357223751006,0.2811880166224089,-0.3581691124624585,-0.002690956845159506,-0.000911251984437202,0.0016587828448703344,5.20486360826173,-18.45297379095853,9.65276009691346,2.7571071679054433,0.8963524370815744,1.2189508014059427,0.3515040781308501,0.524824548666212,0.2977198922980643,0.4695184508573832,0.08709594437834041,0.06244749810292626,0.0003561094632272886,6.644718759405387e-06
拟合 A,second,-0.00130445321702503,0.2819645825307069,-0.35798243146202663,-0.0021106830483559836,0.002231735585469299,-0.0024758815376006,-5.563270436680673,-33.06800779426423,14.771247331366444,-2.1536594009502066,3.2550664943145713,-1.0749590768104011,0.25157914090881495,0.41238302337677657,0.38844792215031665,0.2678034425286953,0.0763482106206957,0.13196542357861327,0.0010683283896818657,8.068587064992503e-06
拟合 B,first,0.0017484390858454573,0.3998663601262802,-0.49956913109196294,-0.001541123860552002,0.34704725339638076,0.0010189676217548533,5.778314533732036,-26.842680299531906,13.014276701522272,2.446968674131636,0.5426164550345696,1.112577112434703,0.5981273865738809,0.4286246060151694,0.22710681684514497,0.3619888315066427,0.10981527516891287,0.06887436760565246,0.0003561094632272886,5.695473222347815e-06
拟合 B,second,-8.659492411811118e-05,0.397385708629856,-0.5001386546830597,0.0014726595261916977,0.3525122498023306,-0.0004174544560596586,3.8319663405125093,-41.85594411219196,17.788005331268568,-1.6237793697273593,2.4812097614717947,-0.9116841574830751,0.34493316942626956,0.6354823227995828,0.2013337784030471,0.16079667458522193,0.08619012476054685,0.06432359398164242,0.0003561094632272886,4.746227685314963e-06
拟合 C,first,0.0028389679555252665,0.40277960654508044,-0.5016585510402894,0.0012951862074695015,-0.35123699775113926,-0.0026996424418235855,5.427872301500182,-27.718785880111533,13.554254265100544,3.098499928493665,2.338798626608367,1.0754332537300353,0.42799979184642906,0.7589883029534787,0.3252942986964032,0.2086535275812122,0.09029456918558135,0.11838015652253078,0.0003561094632272886,8.068587065035437e-06
拟合 C,second,-0.002870032015725486,0.4029566289721721,-0.5023708411601594,0.00023632654201978894,-0.34846200894481194,0.0024278853101331083,-4.977872616929735,-43.16014673782756,19.84165107841264,-1.5781000566909067,4.737659663037047,-0.5233332603027846,0.3374395536980645,0.7123306146688744,0.2901211957567637,0.13882394819573196,0.060436427377882566,0.11445467054699839,0.0003561094632272886,9.492455370629926e-06
拟合 D,first,0.0012042722161577756,0.5220174235029245,-0.6207617293842709,0.350032689938274,0.2982446774418651,-0.24735695314394057,-0.8721232824860896,-33.403516408645295,16.160379282548664,3.4038300735267932,1.327853433948564,1.2499303601553675,0.3649619232070258,0.7456155314895299,0.2740838920161224,0.2253874684513109,0.0668271768613499,0.05616233676742983,0.0003561094632272886,6.6447187594409485e-06
拟合 D,second,0.002740400672071012,0.5216798124621007,-0.6185007333051219,0.350512723406364,0.30199634498127165,-0.2519849404320203,5.184952117794009,-50.76334937292606,21.527938981768834,-1.1862196343255547,3.104120174897731,-1.2431338243072791,0.36008431750545344,0.8032990942096844,0.3114147395139696,0.20091246634032278,0.14933679121754498,0.12767946721420942,0.0007122189264545771,6.170095990909452e-06
拟合 E,first,0.0003552314111055101,0.5178439349779878,-0.6225934173037164,-0.3518595723021881,-0.3027151255675011,0.25190583268207584,-4.480085355236762,-35.526081292504124,17.737517669491428,3.359112430238477,2.4518107924544834,1.4340690639465925,0.32192637686539555,0.38194785491693,0.24212268083512653,0.32035440803087206,0.0687830811003345,0.11882744938012217,0.0003561094632272886,9.017832602042919e-06
拟合 E,second,-0.002243648616959376,0.5212225964836069,-0.6226105630512293,-0.34817137369250306,-0.29885864945523444,0.24757900540619673,-4.997784107397455,-52.08746348902936,23.372421558693375,-1.968537974434057,4.670010422502588,-1.055359764132194,0.31293363642085104,0.6908160982355813,0.2164590219966736,0.14770633753288742,0.08591839212885098,0.09846845692824466,0.0003561094632272886,5.695473222347598e-06
